# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bag_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.847000,0.875000,0.886751,0.912892,0.651118,0.692421,13.544287,2.418798,15.963084,819.933594
3000,0.813000,0.795000,0.855710,0.834008,0.591489,0.574247,17.637280,4.672009,22.309289,1720.949219
4000,0.845000,0.935000,0.884587,0.954386,0.648685,0.842156,21.504264,5.769794,27.274058,2291.386719
5000,0.868250,0.910000,0.903391,0.935252,0.696352,0.789301,25.425620,6.677521,32.103141,2376.941406
6000,0.877000,0.880000,0.910882,0.917241,0.712648,0.704397,29.415309,7.579642,36.994951,2429.714844
7000,0.885833,0.920000,0.918033,0.944828,0.730345,0.800970,33.375641,8.576278,41.951919,2575.363281
8000,0.890143,0.910000,0.921539,0.937063,0.738901,0.781341,37.527843,9.622820,47.150663,2688.597656
9000,0.895625,0.945000,0.925969,0.964401,0.749652,0.844193,41.634660,10.520096,52.154756,2791.589844
10000,0.897556,0.910000,0.927447,0.940397,0.753892,0.759358,45.849009,11.388187,57.237196,2933.425781
11000,0.897700,0.880000,0.927606,0.921053,0.754130,0.677419,49.948552,12.275105,62.223658,3318.316406
12000,0.900364,0.940000,0.929825,0.960000,0.758956,0.840764,54.008780,13.388841,67.397621,3570.566406
13000,0.901500,0.910000,0.930544,0.934307,0.762161,0.792984,58.132768,14.348069,72.480836,3719.722656
14000,0.902846,0.885000,0.931511,0.921502,0.765375,0.711418,62.385288,15.383199,77.768487,3724.777344
15000,0.904214,0.910000,0.932501,0.935252,0.768602,0.789720,66.497667,16.283137,82.780805,3889.800781
16000,0.906133,0.940000,0.933791,0.958042,0.773556,0.853426,70.622376,17.187752,87.810128,4109.394531
17000,0.907188,0.930000,0.934509,0.951389,0.776254,0.827160,74.292707,18.114397,92.407104,4409.933594
18000,0.909294,0.950000,0.936059,0.966667,0.781013,0.867110,78.106541,18.979650,97.086191,4764.542969
19000,0.910111,0.920000,0.936658,0.944444,0.782898,0.803150,81.783896,19.823331,101.607226,4970.480469
20000,0.911526,0.950000,0.937826,0.967532,0.785471,0.859333,85.374040,20.655446,106.029486,5435.027344
21000,0.912200,0.930000,0.938199,0.948529,0.787626,0.840055,88.925436,21.627378,110.552814,5637.371094
22000,0.912286,0.920000,0.938275,0.941606,0.787792,0.815986,92.574907,22.510689,115.085597,5831.167969
23000,0.912500,0.915000,0.938394,0.941581,0.788497,0.787553,96.249860,23.401032,119.650892,5901.613281
24000,0.913304,0.955000,0.939014,0.967742,0.790182,0.893617,99.832625,24.267117,124.099742,6276.050781
25000,0.913833,0.950000,0.939447,0.964029,0.791167,0.882408,103.442140,25.169218,128.611358,6488.488281
26000,0.914360,0.940000,0.939902,0.958042,0.792027,0.853426,107.131147,26.031025,133.162171,6694.371094
27000,0.914885,0.920000,0.940262,0.942446,0.793349,0.812712,110.751530,26.935961,137.687491,6781.972656
28000,0.914963,0.930000,0.940208,0.948148,0.794108,0.841342,114.491526,27.863313,142.354840,6955.019531
29000,0.915893,0.930000,0.940929,0.953642,0.796018,0.812030,118.256167,28.761517,147.017684,7129.589844
30000,0.916759,0.945000,0.941538,0.960854,0.798098,0.868892,122.025053,29.699993,151.725046,7203.472656
31000,0.917367,0.930000,0.941991,0.950355,0.799437,0.832696,125.707433,30.601668,156.309100,7493.425781
32000,0.917935,0.935000,0.942425,0.955932,0.800639,0.833034,129.388933,31.461206,160.850139,7724.980469
33000,0.918969,0.950000,0.943207,0.966216,0.802841,0.870483,133.072260,32.340796,165.413056,7986.871094
34000,0.919364,0.955000,0.943512,0.968421,0.803662,0.890431,136.714782,33.179518,169.894300,8197.214844
35000,0.919353,0.930000,0.943480,0.951049,0.803772,0.829268,140.246445,34.053951,174.300397,8466.839844
36000,0.919857,0.920000,0.943849,0.944444,0.804907,0.802469,143.718133,34.944758,178.662891,8555.582031
37000,0.920417,0.945000,0.944305,0.962457,0.805930,0.860015,147.435824,35.825165,183.260989,8557.886719
38000,0.920622,0.930000,0.944475,0.953020,0.806296,0.816946,150.931052,36.702716,187.633768,8749.902344
39000,0.921105,0.955000,0.944825,0.967742,0.807409,0.893617,154.512215,37.609047,192.121262,8880.433594
40000,0.921282,0.900000,0.944933,0.929078,0.807928,0.761905,158.091732,38.511746,196.603477,9235.042969
41000,0.922000,0.950000,0.945449,0.963504,0.809596,0.884473,161.681541,39.392508,201.074049,9453.933594
42000,0.922415,0.930000,0.945755,0.949640,0.810523,0.835835,165.300566,40.296531,205.597097,9617.222656
43000,0.922929,0.980000,0.946125,0.985816,0.811718,0.951940,168.823336,41.214647,210.037982,9717.917969
44000,0.923302,0.945000,0.946369,0.959707,0.812717,0.873534,172.458066,42.121957,214.580023,9851.292969
45000,0.923705,0.920000,0.946654,0.944056,0.813673,0.804878,175.987340,42.996559,218.983899,10057.941406
46000,0.924067,0.930000,0.946902,0.951724,0.814582,0.825523,179.607190,43.885243,223.492433,10255.558594
47000,0.924261,0.930000,0.947045,0.954839,0.815017,0.800314,183.085081,44.777112,227.862193,10426.238281
48000,0.924426,0.940000,0.947168,0.961039,0.815378,0.830986,186.810751,45.678382,232.489133,10638.957031
49000,0.924229,0.910000,0.946983,0.933824,0.815157,0.794356,190.383240,46.652690,237.035930,10943.480469
50000,0.924367,0.930000,0.947042,0.950000,0.815686,0.833828,193.896652,47.630217,241.526868,11015.253906
51000,0.924800,0.950000,0.947352,0.964539,0.816692,0.880024,197.534631,48.573371,246.108001,11219.511719
52000,0.924863,0.920000,0.947342,0.942446,0.817120,0.812096,201.148442,49.559472,250.707914,11394.683594
53000,0.925096,0.930000,0.947493,0.951049,0.817747,0.828997,204.791615,50.486867,255.278482,11493.277344
54000,0.925245,0.955000,0.947566,0.968421,0.818273,0.890431,208.291952,51.432269,259.724221,11675.402344
55000,0.925593,0.955000,0.947777,0.968641,0.819275,0.889272,211.808731,52.430839,264.239570,11875.792969
56000,0.925673,0.925000,0.947823,0.948097,0.819528,0.814264,215.518612,53.385269,268.903881,11969.738281
57000,0.925804,0.935000,0.947921,0.955932,0.819810,0.833034,219.070536,54.319431,273.389966,12333.402344
58000,0.925842,0.905000,0.947916,0.928302,0.820062,0.788277,222.665367,55.297060,277.962428,12484.199219
59000,0.926000,0.945000,0.948025,0.962712,0.820451,0.858503,226.426189,56.218626,282.644815,12589.847656
60000,0.925932,0.910000,0.947954,0.932331,0.820404,0.799443,230.080220,57.223374,287.303594,12678.769531
61000,0.925950,0.905000,0.947983,0.933333,0.820362,0.770642,233.759980,58.136482,291.896462,12973.207031
62000,0.926279,0.925000,0.948240,0.945848,0.821024,0.825052,237.367976,59.088365,296.456341,13123.785156
63000,0.926258,0.920000,0.948199,0.945946,0.821107,0.793068,240.986711,60.049816,301.036527,13216.667969
64000,0.926365,0.910000,0.948264,0.933824,0.821408,0.795105,244.708893,60.963352,305.672245,13359.722656
