# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingADWINClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bagwin_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.852000,0.890000,0.889387,0.921986,0.665828,0.735672,17.392348,1.447167,18.839515,953.658203
3000,0.806000,0.775000,0.848319,0.814815,0.581666,0.539783,21.512806,3.252085,24.764891,1112.353516
4000,0.790000,0.755000,0.831731,0.789700,0.557382,0.515235,27.193483,5.122822,32.316305,1777.095703
5000,0.826500,0.910000,0.865712,0.935252,0.622243,0.789301,32.890784,6.607234,39.498018,2203.220703
6000,0.843800,0.880000,0.881899,0.917241,0.651715,0.704397,36.288850,7.497768,43.786618,2447.064453
7000,0.858833,0.925000,0.894978,0.948097,0.679822,0.814264,41.629458,8.316106,49.945564,2509.376953
8000,0.866714,0.910000,0.901903,0.937063,0.694062,0.781341,48.268992,9.320667,57.589659,2510.814453
9000,0.875375,0.945000,0.909289,0.964401,0.710264,0.844193,51.905786,10.183549,62.089335,2712.603516
10000,0.879667,0.905000,0.912795,0.936877,0.718822,0.747408,56.690682,11.002267,67.692949,2961.197266
11000,0.881900,0.880000,0.914661,0.921053,0.723154,0.677419,61.568996,11.996884,73.565880,3016.455078
12000,0.886091,0.940000,0.918249,0.960000,0.730725,0.840764,67.986998,12.999674,80.986672,3379.205078
13000,0.888417,0.905000,0.919978,0.930909,0.736049,0.780752,72.111147,14.055019,86.166166,3609.767578
14000,0.890846,0.880000,0.921857,0.918367,0.741285,0.697543,78.305600,15.093519,93.399119,3865.681641
15000,0.893071,0.910000,0.923564,0.935252,0.746128,0.789720,81.499547,15.995111,97.494658,4036.611328
16000,0.895733,0.940000,0.925467,0.958042,0.752488,0.853426,85.996469,16.886763,102.883232,4301.666016
17000,0.897563,0.935000,0.926807,0.955017,0.756736,0.838750,90.002561,17.875066,107.877627,4520.759766
18000,0.900235,0.950000,0.928841,0.966667,0.762550,0.867110,95.303896,18.792409,114.096305,4870.673828
19000,0.901556,0.920000,0.929855,0.944444,0.765412,0.803150,99.825109,19.744725,119.569834,5339.087891
20000,0.903421,0.950000,0.931415,0.967532,0.768827,0.859333,105.677990,20.533103,126.211093,5574.095703
21000,0.904800,0.935000,0.932305,0.952030,0.772569,0.851970,109.379370,21.425923,130.805293,5701.041016
22000,0.905762,0.930000,0.933013,0.948529,0.774787,0.840055,113.253323,22.285121,135.538444,5856.994141
23000,0.906545,0.920000,0.933553,0.944828,0.776770,0.800970,115.819974,23.102503,138.922477,5980.822266
24000,0.907652,0.960000,0.934424,0.971223,0.779046,0.905827,119.889799,23.912326,143.802125,6373.283203
25000,0.908792,0.965000,0.935311,0.974545,0.781425,0.918661,125.312695,24.723690,150.036385,6666.431641
26000,0.909560,0.940000,0.935969,0.958042,0.782758,0.853426,129.715334,25.531437,155.246771,7006.494141
27000,0.910154,0.915000,0.936411,0.939068,0.784105,0.800282,134.347923,26.354222,160.702144,7106.173828
28000,0.910481,0.925000,0.936543,0.944649,0.785392,0.829468,139.686295,27.211597,166.897892,7404.470703
29000,0.911571,0.930000,0.937402,0.953333,0.787601,0.814225,145.115825,28.091316,173.207141,7498.017578
30000,0.912655,0.940000,0.938179,0.957143,0.790154,0.857567,150.106690,29.030949,179.137639,7636.197266
31000,0.913267,0.935000,0.938647,0.953405,0.791457,0.846517,154.247579,29.890614,184.138193,7888.236328
32000,0.913871,0.935000,0.939113,0.955932,0.792721,0.833034,159.250021,30.824230,190.074251,7083.294922
33000,0.915031,0.955000,0.940011,0.969492,0.795136,0.884080,163.879658,31.621828,195.501486,7338.767578
34000,0.915606,0.960000,0.940447,0.971831,0.796378,0.903054,167.557040,32.396699,199.953739,7430.892578
35000,0.915794,0.940000,0.940551,0.957746,0.796980,0.854932,172.629049,33.196524,205.825573,7645.611328
36000,0.916343,0.915000,0.940970,0.941176,0.798150,0.789134,177.242281,34.267409,211.509689,7879.306641
37000,0.916833,0.940000,0.941386,0.958621,0.798985,0.849699,181.517205,35.336031,216.853236,8099.306641
38000,0.917108,0.925000,0.941615,0.949833,0.799480,0.802787,185.571267,36.135067,221.706334,8322.091797
39000,0.917658,0.935000,0.942009,0.952727,0.800768,0.848837,188.087381,37.169241,225.256622,8494.607422
40000,0.918000,0.915000,0.942233,0.939068,0.801687,0.799906,192.290765,38.158731,230.449496,8804.935547
41000,0.918625,0.945000,0.942689,0.959707,0.803112,0.873389,195.908590,39.237508,235.146098,8950.732422
42000,0.919122,0.935000,0.943053,0.952727,0.804238,0.849258,198.864299,40.196590,239.060890,9070.451172
43000,0.919667,0.980000,0.943454,0.985816,0.805472,0.951940,203.662355,41.147695,244.810050,9221.599609
44000,0.920023,0.950000,0.943681,0.963235,0.806447,0.885439,207.476033,42.025685,249.501718,9371.302734
45000,0.920523,0.920000,0.944038,0.943262,0.807626,0.808245,210.818688,42.888917,253.707605,9530.107422
46000,0.921022,0.935000,0.944389,0.955017,0.808841,0.838750,214.441733,43.750319,258.192052,9589.318359
