# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=1.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/lambda_1.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.762000,0.730000,0.802653,0.769231,0.516486,0.465928,25.510618,2.656492,28.167111,802.284180
3000,0.774500,0.770000,0.815391,0.823077,0.538854,0.508337,33.492057,5.257723,38.749780,1476.979492
4000,0.816667,0.910000,0.859047,0.941176,0.599850,0.751381,40.873395,6.551850,47.425245,1560.569336
5000,0.840250,0.890000,0.880404,0.918519,0.640580,0.752698,48.325166,7.972672,56.297838,1834.827148
6000,0.856000,0.885000,0.893207,0.916968,0.672367,0.732807,55.478984,9.523858,65.002842,1946.999023
7000,0.866833,0.930000,0.901879,0.951389,0.694730,0.827437,62.721719,10.910604,73.632324,2333.928711
8000,0.873857,0.915000,0.908011,0.946372,0.707398,0.744361,69.657557,12.114382,81.771939,2635.358398
9000,0.880375,0.925000,0.913589,0.950820,0.719363,0.794521,76.833195,13.277098,90.110292,2636.545898
10000,0.885333,0.935000,0.917519,0.952727,0.729640,0.849467,84.420306,14.470643,98.890949,2731.381836
11000,0.889400,0.910000,0.920603,0.932331,0.738634,0.799822,91.900198,15.752677,107.652875,2947.506836
12000,0.892091,0.915000,0.922726,0.941176,0.744258,0.789916,99.145859,16.920144,116.066002,3377.170898
13000,0.894750,0.930000,0.924718,0.949640,0.750250,0.835835,106.095327,18.107853,124.203179,3706.061523
14000,0.895462,0.900000,0.925178,0.921875,0.752260,0.785316,113.263032,19.017557,132.280589,3966.026367
15000,0.898786,0.955000,0.927804,0.967509,0.759074,0.894589,120.172884,20.015489,140.188374,4124.413086
16000,0.899933,0.925000,0.928771,0.947735,0.761201,0.816267,127.345179,20.946454,148.291633,4499.006836
17000,0.900937,0.925000,0.929609,0.950495,0.763100,0.797407,134.059522,21.971065,156.030587,4657.241211
18000,0.901647,0.920000,0.930153,0.947020,0.764676,0.785609,141.150561,23.097304,164.247865,5025.670898
19000,0.903111,0.925000,0.931317,0.948805,0.767633,0.809982,147.931058,24.318047,172.249105,5169.901367
20000,0.903579,0.925000,0.931688,0.949495,0.768628,0.805296,154.471367,25.441930,179.913297,5383.745117
21000,0.904650,0.925000,0.932531,0.950495,0.770822,0.797023,160.980048,26.446197,187.426245,5896.721680
22000,0.906333,0.920000,0.933720,0.944056,0.774879,0.804878,167.452083,27.537326,194.989409,6108.541992
23000,0.907591,0.915000,0.934716,0.943894,0.777400,0.770889,173.890384,28.662436,202.552820,6144.877930
24000,0.908609,0.950000,0.935434,0.965278,0.779865,0.876238,180.307716,29.768081,210.075798,6339.791992
25000,0.909333,0.890000,0.935966,0.921429,0.781536,0.741176,186.737464,30.779212,217.516677,6516.979492
26000,0.910200,0.915000,0.936587,0.938628,0.783596,0.802095,193.229749,31.955748,225.185496,6766.627930
27000,0.911000,0.935000,0.937219,0.955017,0.785214,0.838750,199.724397,33.150767,232.875164,6897.323242
28000,0.911296,0.935000,0.937462,0.954704,0.785781,0.840256,206.058211,34.194098,240.252309,7063.854492
29000,0.911643,0.880000,0.937711,0.916084,0.786615,0.710669,212.346901,35.283961,247.630862,7245.541992
30000,0.912069,0.945000,0.938004,0.960000,0.787682,0.872182,218.619488,36.366047,254.985534,7336.338867
31000,0.912967,0.940000,0.938748,0.959184,0.789298,0.846469,224.863710,37.347394,262.211104,7484.916992
32000,0.913290,0.945000,0.938992,0.962199,0.790009,0.861635,231.314800,38.363087,269.677887,7833.034180
33000,0.913500,0.915000,0.939087,0.938182,0.790795,0.803468,237.646520,39.456574,277.103093,7883.323242
34000,0.913939,0.915000,0.939420,0.944625,0.791750,0.764216,243.927266,40.513593,284.440859,8224.151367
35000,0.914265,0.935000,0.939622,0.953069,0.792682,0.847740,250.316392,41.575688,291.892080,8400.190430
36000,0.914800,0.910000,0.939988,0.940000,0.794033,0.762564,256.619727,42.620718,299.240444,8620.362305
37000,0.915639,0.970000,0.940564,0.978723,0.796126,0.927954,262.903243,43.769139,306.672381,8912.526367
38000,0.916135,0.910000,0.940948,0.940397,0.797151,0.758324,269.206439,44.786062,313.992501,9050.713867
39000,0.916658,0.940000,0.941318,0.957746,0.798410,0.854932,275.766444,45.860339,321.626783,9196.791992
40000,0.917436,0.955000,0.941871,0.967273,0.800260,0.895422,282.172651,46.882209,329.054860,9499.479492
41000,0.918200,0.930000,0.942409,0.948148,0.802100,0.841108,288.279967,47.881188,336.161155,9511.905273
42000,0.918561,0.955000,0.942653,0.971246,0.803024,0.868190,294.630810,48.879573,343.510383,9689.874023
43000,0.918810,0.915000,0.942829,0.937729,0.803624,0.805135,300.948649,49.894533,350.843183,9947.030273
44000,0.919372,0.975000,0.943243,0.981413,0.804893,0.943259,307.594482,50.991611,358.586094,10171.655273
45000,0.919795,0.925000,0.943564,0.949495,0.805799,0.804382,313.699472,51.982040,365.681512,10295.928711
46000,0.920133,0.935000,0.943814,0.955017,0.806555,0.838750,319.938551,52.975428,372.913979,10542.702148
47000,0.920457,0.935000,0.944055,0.955932,0.807271,0.832776,326.090095,53.962894,380.052988,10598.725586
48000,0.920957,0.960000,0.944387,0.972789,0.808579,0.897528,332.467133,54.942916,387.410049,10881.694336
49000,0.921292,0.950000,0.944624,0.965278,0.809383,0.876238,338.523501,55.927222,394.450723,11019.241211
50000,0.921163,0.955000,0.944490,0.966038,0.809298,0.899598,344.944547,56.888025,401.832572,11367.881836
51000,0.921400,0.930000,0.944665,0.952381,0.809827,0.821429,351.178602,57.923508,409.102110,11457.440430
52000,0.921922,0.950000,0.945064,0.968354,0.810926,0.849669,357.310514,58.923240,416.233754,11503.229492
53000,0.922154,0.935000,0.945217,0.951673,0.811540,0.853141,363.408885,59.919396,423.328280,11611.901367
54000,0.922377,0.925000,0.945397,0.948097,0.811971,0.814264,369.555886,60.913266,430.469151,11684.768555
55000,0.922741,0.920000,0.945653,0.943262,0.812843,0.808498,375.728341,61.931394,437.659735,11728.862305
56000,0.923000,0.925000,0.945847,0.946996,0.813411,0.819712,382.103104,62.908132,445.011236,11933.471680
57000,0.923214,0.905000,0.945977,0.930403,0.814035,0.783055,388.246693,63.899412,452.146105,12067.198242
58000,0.923404,0.945000,0.946115,0.962457,0.814462,0.860015,394.444128,64.910553,459.354681,12147.440430
59000,0.923776,0.950000,0.946378,0.963768,0.815354,0.883463,400.640212,65.914157,466.554369,12186.073242
60000,0.924000,0.940000,0.946545,0.957143,0.815843,0.857414,406.993003,66.913209,473.906212,12331.377930
61000,0.924383,0.945000,0.946819,0.960000,0.816743,0.872301,413.212756,67.952767,481.165524,12631.346680
62000,0.924393,0.930000,0.946823,0.952055,0.816779,0.822785,419.426523,68.935348,488.361871,12726.030273
63000,0.924774,0.950000,0.947096,0.964286,0.817673,0.881306,425.645257,69.914025,495.559283,12891.499023
64000,0.924810,0.935000,0.947137,0.955326,0.817679,0.836929,431.877755,70.911602,502.789357,13153.194336
65000,0.924906,0.920000,0.947171,0.945205,0.818081,0.797699,438.320520,71.948679,510.269199,13328.291992
66000,0.925092,0.915000,0.947315,0.940767,0.818464,0.792176,444.422159,72.937856,517.360015,13563.331055
67000,0.925197,0.955000,0.947404,0.969283,0.818635,0.885467,450.738174,73.923277,524.661451,13574.807617
68000,0.925433,0.945000,0.947556,0.960289,0.819274,0.871164,457.048122,74.964261,532.012383,13809.713867
69000,0.925603,0.945000,0.947646,0.961404,0.819833,0.866082,463.193713,76.006505,539.200218,14023.956055
70000,0.925841,0.960000,0.947781,0.968504,0.820567,0.913858,469.376853,77.096890,546.473742,14212.010742
71000,0.926057,0.925000,0.947942,0.946237,0.821043,0.822904,475.607195,78.097822,553.705017,14340.206055
72000,0.926239,0.920000,0.948062,0.942857,0.821525,0.810964,481.837004,79.149861,560.986865,14426.557617
73000,0.926333,0.940000,0.948107,0.956522,0.821856,0.860335,488.092070,80.146699,568.238769,14593.581055
