# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bag_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.840000,0.800000,0.875776,0.843750,0.651071,0.565972,13.560486,2.170434,15.730920,1186.480469
3000,0.817500,0.805000,0.854408,0.840816,0.611036,0.592306,17.691275,4.122690,21.813965,1956.816406
4000,0.854000,0.925000,0.888094,0.945455,0.678180,0.826308,21.592707,5.453207,27.045914,2233.957031
5000,0.868500,0.875000,0.901975,0.913495,0.702328,0.693327,25.728114,6.305030,32.033145,2317.324219
6000,0.878800,0.925000,0.910909,0.946237,0.721564,0.823155,29.748018,7.218430,36.966448,2390.910156
7000,0.888000,0.940000,0.918328,0.959459,0.740426,0.844801,34.088718,8.062433,42.151151,2433.753906
8000,0.892571,0.935000,0.922137,0.956229,0.749331,0.830949,38.279375,8.807057,47.086432,2560.050781
9000,0.896375,0.895000,0.925255,0.928328,0.756859,0.735116,42.481715,9.548760,52.030474,2742.300781
10000,0.899889,0.915000,0.927914,0.939929,0.764671,0.796407,46.767659,10.494527,57.262186,2924.933594
11000,0.900800,0.935000,0.928725,0.954064,0.766284,0.843750,50.980938,11.466409,62.447347,2995.605469
12000,0.903000,0.925000,0.930611,0.949495,0.770226,0.805296,55.276108,12.527131,67.803239,3526.246094
13000,0.905833,0.950000,0.932810,0.967105,0.776203,0.863407,59.521847,13.730476,73.252323,3875.917969
14000,0.907154,0.920000,0.933780,0.948718,0.779264,0.769053,63.555889,14.710204,78.266093,4174.464844
15000,0.908357,0.905000,0.934744,0.936027,0.781688,0.754459,67.459142,15.628751,83.087892,4329.933594
16000,0.909133,0.920000,0.935394,0.945578,0.783124,0.795918,71.280976,16.521034,87.802010,4930.269531
17000,0.909500,0.945000,0.935707,0.962457,0.783808,0.860193,74.868740,17.474851,92.343591,4975.378906
18000,0.910882,0.920000,0.936693,0.942446,0.787099,0.812383,78.476838,18.360240,96.837077,5059.363281
19000,0.912111,0.940000,0.937766,0.960784,0.789096,0.833956,82.196155,19.262176,101.458331,5273.003906
20000,0.912579,0.915000,0.938071,0.938628,0.790367,0.802095,85.867608,20.161674,106.029282,5365.425781
21000,0.913000,0.905000,0.938403,0.930403,0.791236,0.782609,89.506891,21.028933,110.535824,5476.464844
22000,0.913381,0.900000,0.938843,0.930070,0.791359,0.757605,93.346516,21.978776,115.325293,5819.621094
23000,0.914455,0.915000,0.939614,0.940767,0.793886,0.792176,97.028550,22.971111,119.999661,5859.488281
24000,0.915870,0.975000,0.940751,0.983923,0.796600,0.927808,100.802529,23.828558,124.631087,6149.894531
25000,0.916208,0.950000,0.940962,0.963768,0.797570,0.883341,104.500928,24.716237,129.217165,6527.746094
26000,0.916840,0.940000,0.941402,0.957746,0.799130,0.854932,108.159024,25.587359,133.746383,6633.730469
27000,0.918038,0.935000,0.942301,0.956522,0.801743,0.828767,111.863771,26.494881,138.358652,7008.128906
28000,0.918593,0.940000,0.942710,0.956204,0.802993,0.861544,115.551320,27.359582,142.910902,7430.894531
29000,0.918714,0.920000,0.942780,0.945205,0.803382,0.798691,119.271325,28.193424,147.464750,7716.417969
30000,0.919517,0.930000,0.943369,0.952055,0.805199,0.823522,122.900254,29.110532,152.010786,7790.535156
31000,0.919733,0.960000,0.943511,0.972414,0.805776,0.899800,126.489233,29.967882,156.457115,8022.511719
32000,0.920516,0.950000,0.944069,0.966887,0.807622,0.865011,130.036293,30.844555,160.880848,8089.308594
33000,0.920781,0.925000,0.944248,0.948097,0.808304,0.814264,133.645077,31.711589,165.356667,8235.433594
34000,0.921333,0.960000,0.944589,0.970588,0.809869,0.908183,137.393055,32.599456,169.992511,8410.847656
35000,0.921853,0.940000,0.944970,0.955882,0.811050,0.862700,141.359456,33.577389,174.936846,8556.691406
36000,0.922343,0.935000,0.945356,0.954386,0.812029,0.841734,145.061671,34.488548,179.550219,8617.378906
37000,0.922444,0.905000,0.945415,0.934708,0.812338,0.763092,148.924432,35.417879,184.342311,8974.613281
38000,0.922757,0.930000,0.945607,0.950000,0.813233,0.834045,152.661638,36.348615,189.010253,9100.449219
39000,0.922947,0.945000,0.945728,0.961672,0.813768,0.864832,156.268360,37.261747,193.530107,9164.964844
40000,0.923103,0.925000,0.945897,0.950495,0.813846,0.797023,159.860365,38.122636,197.983001,9515.605469
41000,0.923550,0.930000,0.946217,0.947368,0.814896,0.843750,163.784010,39.046030,202.830040,9860.355469
42000,0.923707,0.960000,0.946315,0.971429,0.815333,0.904864,167.306946,40.051685,207.358630,10062.863281
43000,0.924310,0.960000,0.946744,0.975000,0.816759,0.875312,170.898418,40.912007,211.810425,10177.652344
44000,0.924558,0.940000,0.946893,0.956835,0.817489,0.858890,174.480002,41.799811,216.279813,10223.894531
45000,0.924750,0.925000,0.946982,0.943396,0.818172,0.832664,178.048000,42.699405,220.747405,10315.347656
46000,0.924844,0.930000,0.947112,0.955128,0.818093,0.796777,181.640300,43.544858,225.185157,10380.691406
47000,0.925130,0.930000,0.947331,0.949275,0.818693,0.837304,185.224947,44.405690,229.630637,10520.050781
48000,0.925404,0.940000,0.947534,0.960000,0.819305,0.840764,188.897168,45.274759,234.171927,10695.957031
49000,0.925375,0.890000,0.947544,0.923077,0.819085,0.733366,192.505037,46.259006,238.764043,10794.886719
50000,0.925633,0.940000,0.947738,0.958333,0.819645,0.851852,196.036047,47.140546,243.176593,10910.550781
51000,0.925780,0.925000,0.947848,0.947368,0.819974,0.817873,199.500635,48.034390,247.535025,10972.214844
52000,0.925725,0.910000,0.947802,0.936170,0.819885,0.785280,203.013394,48.944530,251.957923,11120.207031
53000,0.925769,0.945000,0.947872,0.964169,0.819801,0.846540,206.708616,49.852480,256.561096,11191.222656
54000,0.925962,0.960000,0.947977,0.971223,0.820422,0.905827,210.339977,50.783943,261.123919,11270.714844
55000,0.926093,0.905000,0.948116,0.932862,0.820499,0.772455,213.853521,51.692910,265.546431,11338.925781
56000,0.926236,0.945000,0.948214,0.960573,0.820862,0.870130,217.484001,52.615463,270.099464,11581.464844
57000,0.926446,0.930000,0.948362,0.951724,0.821365,0.825240,221.136435,53.576309,274.712744,11640.308594
58000,0.926807,0.955000,0.948594,0.967273,0.822341,0.895422,224.598028,54.495134,279.093162,11705.707031
59000,0.926914,0.925000,0.948676,0.945848,0.822562,0.824766,228.327347,55.423009,283.750356,11806.472656
60000,0.927000,0.940000,0.948727,0.959184,0.822819,0.846469,231.947945,56.367098,288.315043,11980.910156
61000,0.927017,0.940000,0.948717,0.957447,0.822962,0.856184,235.414230,57.318640,292.732870,12063.246094
62000,0.927180,0.955000,0.948825,0.968858,0.823389,0.887948,239.044747,58.243099,297.287846,12236.683594
63000,0.927226,0.910000,0.948830,0.933333,0.823633,0.796011,242.702801,59.237083,301.939884,12308.199219
64000,0.927365,0.940000,0.948908,0.954545,0.824064,0.866681,246.328910,60.169396,306.498305,12454.449219
65000,0.927453,0.925000,0.948977,0.948805,0.824236,0.809645,249.885143,61.076365,310.961508,12514.199219
66000,0.927785,0.965000,0.949185,0.973384,0.825159,0.922343,253.455665,62.028633,315.484297,12626.238281
67000,0.927955,0.920000,0.949304,0.941606,0.825568,0.815668,257.014074,62.944886,319.958960,12742.128906
68000,0.927970,0.910000,0.949305,0.929134,0.825655,0.806181,260.545742,63.884125,324.429866,12894.347656
69000,0.928500,0.975000,0.949668,0.983389,0.826973,0.932886,264.128782,64.842589,328.971370,13067.035156
70000,0.928710,0.945000,0.949816,0.963696,0.827472,0.850706,267.663668,65.844517,333.508185,13318.738281
71000,0.928686,0.905000,0.949779,0.937705,0.827513,0.740295,271.236513,66.780802,338.017315,13449.199219
72000,0.928761,0.930000,0.949829,0.950000,0.827699,0.833828,274.744207,67.753037,342.497244,13589.433594
73000,0.928764,0.930000,0.949811,0.951389,0.827808,0.826733,278.328235,68.728574,347.056809,13723.136719
74000,0.928740,0.915000,0.949769,0.939068,0.827867,0.800282,281.912870,69.704978,351.617849,13853.574219
75000,0.928730,0.925000,0.949753,0.942085,0.827879,0.836066,285.405946,70.687137,356.093084,13976.964844
