# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bag_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.540000,0.545000,0.311578,0.298079,0.449153,0.450433,42.973141,11.688325,54.661466,1721.363281
3000,0.544000,0.580000,0.288300,0.310406,0.451501,0.486443,58.092836,22.912292,81.005127,1944.824219
4000,0.546667,0.495000,0.299677,0.283713,0.455158,0.403373,74.336648,34.700275,109.036924,2010.886719
5000,0.543750,0.540000,0.301332,0.293706,0.450480,0.454346,90.149348,46.488408,136.637755,2027.699219
6000,0.547600,0.605000,0.295446,0.294337,0.450537,0.489384,106.067417,58.143914,164.211331,2044.480469
7000,0.542333,0.540000,0.290068,0.245286,0.442314,0.419540,122.377170,69.688094,192.065264,2067.824219
8000,0.545143,0.605000,0.288396,0.293819,0.444865,0.508844,138.394092,81.339181,219.733273,2082.636719
9000,0.544500,0.555000,0.288940,0.236455,0.445270,0.457102,154.752563,93.069132,247.821695,2082.730469
10000,0.540444,0.535000,0.288227,0.283949,0.442394,0.440921,170.921453,104.838014,275.759468,2083.980469
11000,0.537200,0.495000,0.288804,0.280642,0.439878,0.403919,187.393661,116.489622,303.883283,2067.128906
