# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingADWINClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bagwin_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.800000,0.755000,0.831650,0.789700,0.589108,0.503043,13.661240,1.215569,14.876809,828.697266
3000,0.795500,0.800000,0.829654,0.833333,0.578663,0.588520,20.265140,2.982650,23.247790,1145.205078
4000,0.804667,0.805000,0.841192,0.845850,0.590808,0.581455,24.786925,4.929565,29.716490,1448.994141
5000,0.831250,0.865000,0.868651,0.906574,0.633519,0.668793,30.130443,6.502549,36.632992,1623.220703
6000,0.847800,0.920000,0.884082,0.942029,0.662788,0.813542,36.272800,8.154741,44.427541,1987.814453
7000,0.862000,0.945000,0.896396,0.962712,0.689847,0.858503,42.063752,9.216571,51.280323,2244.783203
8000,0.870286,0.935000,0.903609,0.956229,0.705358,0.830949,50.679139,10.343785,61.022924,2544.595703
9000,0.876875,0.900000,0.909275,0.931973,0.717796,0.746547,55.401262,11.216506,66.617768,2795.775391
10000,0.882333,0.910000,0.913657,0.936170,0.729106,0.785280,59.955355,12.254639,72.209994,2956.080078
11000,0.885000,0.935000,0.915960,0.954064,0.734085,0.843750,64.448667,13.237221,77.685887,3229.634766
12000,0.888273,0.925000,0.918862,0.949495,0.739806,0.805296,69.417960,14.210868,83.628829,3472.501953
13000,0.892083,0.950000,0.921946,0.967105,0.747489,0.863407,72.610029,15.179904,87.789933,3713.478516
14000,0.894615,0.920000,0.923897,0.948718,0.752993,0.769053,76.563919,16.116158,92.680078,3814.939453
15000,0.896714,0.905000,0.925610,0.936027,0.757168,0.754459,82.482328,16.942445,99.424773,4169.509766
16000,0.898133,0.920000,0.926834,0.945946,0.759721,0.793814,87.385785,17.857029,105.242814,4515.353516
17000,0.899125,0.945000,0.927656,0.962457,0.761661,0.860193,91.610888,18.680885,110.291773,4797.251953
18000,0.900941,0.920000,0.929029,0.942857,0.765685,0.810964,97.108873,19.599587,116.708460,4917.876953
19000,0.902444,0.935000,0.930411,0.957655,0.767937,0.818942,99.984455,20.471378,120.455833,5147.572266
20000,0.903316,0.915000,0.931046,0.938628,0.769997,0.802095,107.251709,21.420371,128.672080,5592.056641
21000,0.904100,0.900000,0.931690,0.927536,0.771524,0.768946,112.254387,22.296504,134.550891,5849.392578
22000,0.904905,0.900000,0.932472,0.930070,0.772521,0.757605,116.376641,23.233727,139.610367,6072.712891
23000,0.906045,0.915000,0.933329,0.940767,0.775055,0.792176,122.050609,24.265283,146.315892,6202.009766
24000,0.907739,0.970000,0.934712,0.980769,0.778260,0.912702,126.653102,25.167995,151.821097,6400.814453
25000,0.908083,0.945000,0.934957,0.960289,0.779114,0.871164,130.513323,26.091787,156.605110,6449.736328
26000,0.908800,0.940000,0.935484,0.957746,0.780765,0.854932,134.372670,27.030661,161.403331,6661.470703
27000,0.909923,0.925000,0.936366,0.950166,0.783050,0.800160,139.491435,27.901337,167.392772,6970.064453
28000,0.910778,0.940000,0.937005,0.956204,0.784950,0.861544,144.911341,28.807308,173.718648,7321.416016
29000,0.910821,0.915000,0.937041,0.941980,0.785059,0.785082,150.051185,29.730828,179.782013,7544.181641
30000,0.911828,0.930000,0.937790,0.952055,0.787297,0.823522,153.249548,30.654922,183.904470,7800.744141
31000,0.912100,0.955000,0.937987,0.969072,0.787952,0.886678,157.292960,31.609699,188.902659,7969.119141
32000,0.913129,0.960000,0.938741,0.973684,0.790292,0.890591,159.979477,32.550232,192.529710,7299.044922
33000,0.913563,0.915000,0.939056,0.941581,0.791307,0.787553,165.422505,33.434933,198.857438,7573.470703
34000,0.914394,0.960000,0.939599,0.970803,0.793526,0.907482,170.555260,34.621671,205.176931,7814.861328
35000,0.915088,0.945000,0.940110,0.959410,0.795103,0.874572,175.690669,35.568665,211.259333,8117.767578
36000,0.915714,0.940000,0.940603,0.958042,0.796360,0.853229,179.458938,36.541510,216.000448,8342.150391
37000,0.916083,0.895000,0.940856,0.928328,0.797295,0.735783,185.488995,37.524651,223.013646,8795.962891
38000,0.916405,0.930000,0.941064,0.950000,0.798175,0.834045,190.341525,38.520696,228.862221,8834.498047
39000,0.916816,0.950000,0.941338,0.965035,0.799246,0.877691,196.128783,39.525692,235.654474,9050.818359
40000,0.917051,0.930000,0.941576,0.953947,0.799467,0.809394,201.377586,40.498980,241.876566,9381.583984
41000,0.917650,0.930000,0.942007,0.947368,0.800863,0.843750,206.773830,41.498801,248.272630,9724.373047
42000,0.917976,0.960000,0.942217,0.971223,0.801734,0.905694,209.547242,42.512277,252.059519,9793.052734
43000,0.918595,0.955000,0.942656,0.971787,0.803212,0.860939,213.424288,43.534181,256.958468,9850.794922
44000,0.918930,0.935000,0.942864,0.952727,0.804160,0.848943,218.663072,44.586905,263.249977,10047.904297
45000,0.919227,0.930000,0.943025,0.946970,0.805109,0.844306,222.152652,45.529596,267.682248,10270.708984
46000,0.919622,0.935000,0.943365,0.958466,0.805759,0.809886,226.912637,46.426534,273.339171,10419.294922
47000,0.920065,0.925000,0.943690,0.945848,0.806762,0.825052,231.048519,47.346111,278.394630,10538.287109
48000,0.920511,0.945000,0.944015,0.963211,0.807781,0.854881,235.159872,48.250220,283.410091,10744.357422
49000,0.920708,0.915000,0.944177,0.939929,0.808144,0.796407,239.230075,49.152858,288.382933,10818.958984
50000,0.921143,0.940000,0.944492,0.957746,0.809148,0.854581,243.581048,50.064679,293.645727,10939.068359
51000,0.921460,0.930000,0.944717,0.950355,0.809904,0.832215,246.908171,50.980087,297.888258,11054.341797
52000,0.921529,0.910000,0.944751,0.935714,0.810148,0.786957,251.684451,51.938441,303.622891,11212.982422
53000,0.921615,0.935000,0.944840,0.957096,0.810213,0.823370,257.098877,52.854191,309.953068,11360.591797
54000,0.921830,0.955000,0.944959,0.967742,0.810892,0.893617,262.496740,53.812539,316.309280,11504.787109
55000,0.922056,0.910000,0.945165,0.936620,0.811202,0.783576,268.028108,54.748681,322.776790,11717.201172
56000,0.922309,0.945000,0.945341,0.960573,0.811827,0.870130,272.635944,55.666859,328.302803,11758.943359
57000,0.922696,0.935000,0.945616,0.955326,0.812749,0.836929,278.218670,56.616641,334.835311,12006.529297
58000,0.923035,0.960000,0.945838,0.971014,0.813651,0.906673,282.909230,57.565567,340.474797,12206.130859
