# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingADWINClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bagwin_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.479000,0.485000,0.317883,0.350608,0.387439,0.392832,65.512760,7.356791,72.869551,1646.171875
3000,0.484500,0.505000,0.279107,0.285796,0.390020,0.405637,90.979021,18.069522,109.048543,1671.265625
4000,0.495000,0.465000,0.283571,0.259933,0.400894,0.370995,119.541502,29.017945,148.559448,1684.355469
5000,0.497000,0.495000,0.276493,0.260741,0.398768,0.397303,153.043579,40.052206,193.095785,2302.728516
6000,0.510600,0.605000,0.278650,0.289558,0.409518,0.490438,176.044969,50.084297,226.129267,2538.181641
7000,0.517333,0.540000,0.280317,0.228536,0.414517,0.417390,199.505795,59.076413,258.582208,2869.408203
8000,0.529143,0.645000,0.284363,0.318457,0.427512,0.557536,225.473593,67.650643,293.124236,3017.814453
9000,0.531875,0.555000,0.287267,0.239084,0.432004,0.461080,240.072958,76.454701,316.527658,3062.533203
10000,0.531778,0.555000,0.288080,0.314022,0.433589,0.462998,259.121628,85.192223,344.313851,3065.970703
11000,0.533800,0.530000,0.290271,0.284687,0.437108,0.443886,278.207892,94.034234,372.242127,3075.533203
