# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_ht_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.781000,0.765000,0.809731,0.794760,0.559516,0.528680,1.313611,0.272671,1.586281,65.197266
3000,0.775500,0.765000,0.805712,0.794760,0.550177,0.532896,1.696939,0.536730,2.233669,209.929688
4000,0.795000,0.830000,0.829593,0.866142,0.578130,0.633897,2.033266,0.628539,2.661805,231.992188
5000,0.824250,0.875000,0.861095,0.913495,0.623569,0.693327,2.410831,0.684852,3.095683,244.804688
6000,0.842200,0.905000,0.878932,0.933333,0.652882,0.770642,2.790249,0.748712,3.538961,248.843750
7000,0.857000,0.940000,0.892021,0.959459,0.680494,0.844801,3.155897,0.824322,3.980219,248.906250
8000,0.865714,0.930000,0.899723,0.952703,0.696530,0.818934,3.554157,0.854195,4.408352,249.062500
9000,0.872875,0.900000,0.905929,0.931973,0.709949,0.746547,3.937032,0.926679,4.863711,249.187500
10000,0.879000,0.915000,0.910877,0.939929,0.722556,0.796407,4.320622,1.005926,5.326547,249.250000
11000,0.882000,0.935000,0.913477,0.954064,0.728139,0.843750,4.704072,1.079534,5.783606,249.250000
12000,0.885545,0.925000,0.916628,0.949495,0.734351,0.805296,5.091540,1.153114,6.244655,310.367188
13000,0.889917,0.950000,0.920128,0.967105,0.743328,0.863407,5.489789,1.238060,6.727849,294.531250
14000,0.874538,0.685000,0.907419,0.736402,0.712875,0.396089,5.846624,1.346340,7.192964,371.359375
15000,0.878286,0.915000,0.910532,0.941980,0.720268,0.784647,6.212589,1.425008,7.637597,402.187500
16000,0.881000,0.925000,0.912846,0.948097,0.725400,0.813433,6.547130,1.503095,8.050225,493.882812
17000,0.883000,0.940000,0.914521,0.958904,0.729290,0.848274,6.859923,1.579565,8.439489,511.296875
18000,0.885588,0.920000,0.916513,0.942446,0.734924,0.812383,7.155072,1.663562,8.818634,515.304688
19000,0.888222,0.945000,0.918805,0.963934,0.739637,0.848776,7.457264,1.742639,9.199903,515.398438
20000,0.889684,0.915000,0.919927,0.938628,0.742848,0.802095,7.751098,1.825455,9.576552,515.492188
21000,0.890800,0.905000,0.920824,0.929889,0.745129,0.783993,8.061616,1.907197,9.968813,523.921875
22000,0.892048,0.890000,0.922008,0.921986,0.746956,0.737564,8.396553,2.007178,10.403731,571.070312
23000,0.893682,0.910000,0.923304,0.937500,0.750350,0.779006,8.712649,2.111520,10.824168,573.210938
24000,0.895739,0.970000,0.925053,0.980769,0.754099,0.912702,9.045684,2.168948,11.214633,621.453125
25000,0.896458,0.935000,0.925614,0.952381,0.755646,0.850127,9.406594,2.236139,11.642733,634.484375
26000,0.897400,0.935000,0.926363,0.954386,0.757595,0.842156,9.717093,2.298645,12.015738,634.640625
27000,0.899000,0.925000,0.927654,0.950166,0.760781,0.800160,10.065167,2.356612,12.421780,669.351562
28000,0.900185,0.935000,0.928581,0.952727,0.763274,0.849467,10.372723,2.412224,12.784947,678.664062
29000,0.900464,0.905000,0.928825,0.935154,0.763780,0.759798,10.699090,2.467923,13.167014,684.031250
30000,0.901552,0.925000,0.929692,0.948805,0.765987,0.809982,11.016111,2.544562,13.560673,684.062500
31000,0.901933,0.960000,0.930016,0.972603,0.766701,0.898734,11.299554,2.621871,13.921425,684.156250
32000,0.902935,0.950000,0.930801,0.966887,0.768789,0.865011,11.597185,2.699437,14.296622,684.406250
33000,0.903594,0.915000,0.931309,0.941581,0.770207,0.787553,11.923694,2.782172,14.705866,732.148438
34000,0.904424,0.950000,0.931888,0.963768,0.772261,0.883463,12.241716,2.859365,15.101081,733.828125
35000,0.905059,0.940000,0.932387,0.955882,0.773577,0.862700,12.561140,2.934189,15.495328,777.726562
36000,0.905657,0.940000,0.932889,0.958333,0.774666,0.851852,12.859334,3.011660,15.870994,876.250000
37000,0.906111,0.880000,0.933194,0.916084,0.775836,0.707317,13.172833,3.099358,16.272191,896.562500
38000,0.906622,0.920000,0.933523,0.942446,0.777210,0.811853,13.468664,3.180480,16.649144,901.281250
39000,0.907105,0.940000,0.933838,0.957447,0.778494,0.855908,13.779724,3.262536,17.042260,901.281250
40000,0.907487,0.920000,0.934192,0.946667,0.779038,0.787375,14.088587,3.344506,17.433093,962.398438
41000,0.908075,0.925000,0.934614,0.942966,0.780417,0.834034,14.395318,3.428303,17.823621,1017.617188
42000,0.908585,0.960000,0.934985,0.971429,0.781607,0.904864,14.692346,3.514161,18.206508,1017.835938
43000,0.909381,0.965000,0.935568,0.977918,0.783428,0.893682,15.010507,3.596023,18.606530,1017.835938
44000,0.909767,0.930000,0.935836,0.949640,0.784393,0.835372,15.350830,3.677747,19.028577,1017.835938
45000,0.910341,0.945000,0.936209,0.958801,0.785927,0.876515,15.674975,3.764148,19.439123,1073.953125
46000,0.910644,0.930000,0.936508,0.955128,0.786278,0.796777,15.986803,3.858055,19.844858,1078.484375
47000,0.911196,0.935000,0.936924,0.952381,0.787486,0.850540,16.337669,3.946320,20.283989,1078.578125
48000,0.911745,0.935000,0.937324,0.955932,0.788749,0.832388,16.673955,4.033649,20.707604,1078.640625
49000,0.912104,0.895000,0.937623,0.926316,0.789416,0.746499,16.998000,4.122019,21.120019,1078.734375
50000,0.912571,0.930000,0.937972,0.950704,0.790454,0.830344,17.312709,4.217134,21.529844,1078.734375
51000,0.912900,0.930000,0.938219,0.950704,0.791182,0.830754,17.651234,4.320692,21.971926,1109.789062
52000,0.912216,0.900000,0.937682,0.927536,0.789767,0.766927,17.948283,4.420224,22.368507,1138.757812
53000,0.912500,0.945000,0.937931,0.964169,0.790231,0.846540,18.312681,4.511166,22.823846,1138.851562
54000,0.912943,0.960000,0.938218,0.971223,0.791428,0.905827,18.642164,4.605085,23.247249,1142.476562
55000,0.913333,0.910000,0.938552,0.935714,0.792095,0.786957,18.988734,4.705345,23.694079,1142.476562
56000,0.913636,0.950000,0.938768,0.963768,0.792817,0.883341,19.268020,4.791881,24.059902,1146.390625
57000,0.914071,0.925000,0.939084,0.948097,0.793828,0.813665,19.558050,4.878665,24.436714,1207.257812
58000,0.914579,0.955000,0.939427,0.967033,0.795120,0.896242,19.821055,4.969286,24.790340,1207.507812
59000,0.914862,0.915000,0.939652,0.938628,0.795692,0.801402,20.158799,5.056039,25.214838,1207.507812
60000,0.915169,0.930000,0.939873,0.953020,0.796421,0.816946,20.454416,5.147196,25.601612,1207.507812
61000,0.915517,0.950000,0.940089,0.964286,0.797389,0.881179,20.765457,5.243700,26.009157,1207.507812
62000,0.915787,0.960000,0.940271,0.972028,0.798077,0.901901,21.057109,5.336807,26.393916,1207.507812
63000,0.915984,0.935000,0.940372,0.950943,0.798721,0.854975,21.375967,5.436764,26.812731,1207.570312
64000,0.916333,0.940000,0.940597,0.954198,0.799664,0.867477,21.702064,5.531597,27.233661,1207.601562
65000,0.916703,0.950000,0.940861,0.965278,0.800537,0.876238,22.020276,5.626380,27.646656,1207.789062
66000,0.917215,0.970000,0.941194,0.977099,0.801895,0.933650,22.306134,5.721731,28.027865,1207.789062
67000,0.917455,0.920000,0.941359,0.940299,0.802487,0.819413,22.624295,5.826105,28.450400,1207.789062
68000,0.917657,0.915000,0.941488,0.932806,0.803032,0.817401,22.896155,5.922777,28.818932,1207.882812
69000,0.918324,0.965000,0.941952,0.976589,0.804662,0.907285,23.222174,6.015599,29.237773,1207.882812
70000,0.918696,0.940000,0.942211,0.959459,0.805567,0.844095,23.519084,6.110715,29.629799,1207.882812
71000,0.918814,0.900000,0.942272,0.934211,0.805959,0.728261,23.870240,6.202708,30.072949,1207.882812
72000,0.919070,0.925000,0.942451,0.946237,0.806581,0.822695,24.152829,6.310472,30.463301,1207.882812
73000,0.919069,0.915000,0.942426,0.940351,0.806688,0.792683,24.444604,6.404789,30.849393,1207.945312
74000,0.919247,0.920000,0.942523,0.941176,0.807241,0.816703,24.736160,6.504105,31.240265,1238.742188
75000,0.919257,0.915000,0.942518,0.933333,0.807315,0.816216,25.017232,6.600095,31.617327,1259.929688
76000,0.919360,0.950000,0.942586,0.964029,0.807582,0.882062,25.311428,6.698956,32.010384,1264.710938
77000,0.919592,0.925000,0.942722,0.946996,0.808260,0.818928,25.651590,6.799395,32.450985,1264.710938
78000,0.919974,0.950000,0.942982,0.962687,0.809221,0.887044,25.935431,6.895208,32.830639,1268.937500
79000,0.920115,0.945000,0.943065,0.955823,0.809638,0.883004,26.236192,6.995231,33.231423,1269.187500
80000,0.920152,0.910000,0.943072,0.927419,0.809807,0.809504,26.534794,7.095653,33.630447,1321.609375
81000,0.920250,0.940000,0.943120,0.960265,0.810132,0.837838,26.834114,7.202827,34.036941,1420.906250
82000,0.920123,0.910000,0.942984,0.931298,0.810022,0.800951,27.110527,7.313377,34.423903,1455.156250
83000,0.920378,0.915000,0.943152,0.939502,0.810680,0.796797,27.409597,7.413557,34.823154,1455.375000
84000,0.920675,0.930000,0.943344,0.951389,0.811468,0.826475,27.695202,7.511414,35.206615,1463.937500
85000,0.920893,0.940000,0.943483,0.954887,0.812055,0.865350,28.002787,7.609829,35.612615,1520.023438
86000,0.921200,0.945000,0.943681,0.962712,0.812871,0.858174,28.321976,7.707392,36.029368,1523.898438
87000,0.921326,0.965000,0.943754,0.974545,0.813241,0.918548,28.613138,7.806450,36.419588,1523.960938
88000,0.921437,0.925000,0.943802,0.941634,0.813639,0.836850,28.918209,7.912602,36.830810,1523.992188
89000,0.921659,0.960000,0.943958,0.971223,0.814177,0.905660,29.229291,8.011257,37.240548,1524.023438
90000,0.921787,0.920000,0.944030,0.941606,0.814556,0.814643,29.572114,8.113520,37.685634,1524.023438
91000,0.921878,0.910000,0.944091,0.934783,0.814791,0.789720,29.856342,8.209123,38.065465,1528.429688
92000,0.922044,0.945000,0.944216,0.961672,0.815158,0.864532,30.156770,8.313460,38.470230,1517.203125
93000,0.922326,0.915000,0.944435,0.938628,0.815748,0.800703,30.457741,8.407756,38.865496,1525.671875
94000,0.922548,0.960000,0.944586,0.972222,0.816307,0.900794,30.801894,8.513281,39.315175,1529.203125
95000,0.922691,0.970000,0.944687,0.978873,0.816650,0.927184,31.220551,8.615758,39.836309,1579.890625
96000,0.922811,0.940000,0.944765,0.957447,0.816960,0.855769,31.530529,8.717007,40.247536,1588.484375
97000,0.923010,0.940000,0.944905,0.953846,0.817440,0.868146,31.830297,8.820197,40.650494,1588.546875
98000,0.923155,0.970000,0.945010,0.978723,0.817768,0.927876,32.165519,8.919481,41.085000,1588.546875
99000,0.923143,0.940000,0.945029,0.959459,0.817620,0.844156,32.472101,9.018375,41.490477,1588.546875
100000,0.923273,0.940000,0.945103,0.954198,0.818009,0.867301,32.802140,9.123267,41.925407,1628.289062
101000,0.923430,0.945000,0.945207,0.957198,0.818415,0.880668,33.095848,9.225345,42.321193,1640.882812
102000,0.923554,0.915000,0.945283,0.941176,0.818769,0.788083,33.406964,9.326410,42.733374,1649.289062
103000,0.923725,0.920000,0.945408,0.944056,0.819159,0.803922,33.719927,9.432042,43.151968,1693.218750
104000,0.923903,0.930000,0.945526,0.944444,0.819620,0.850107,34.022172,9.537160,43.559332,1701.343750
105000,0.924048,0.950000,0.945624,0.964539,0.819988,0.879851,34.327826,9.635624,43.963450,1705.343750
106000,0.924105,0.910000,0.945662,0.931818,0.820128,0.799822,34.619458,9.736091,44.355549,1705.343750
107000,0.924264,0.920000,0.945779,0.942857,0.820490,0.809614,34.946599,9.838053,44.784653,1705.375000
108000,0.924449,0.945000,0.945913,0.960854,0.820916,0.868610,35.263078,9.945501,45.208579,1705.437500
109000,0.924528,0.905000,0.945957,0.927203,0.821157,0.791209,35.562078,10.049843,45.611921,1744.585938
110000,0.924716,0.950000,0.946097,0.965035,0.821579,0.877451,35.875290,10.142933,46.018223,1744.742188
111000,0.924873,0.965000,0.946202,0.974359,0.821982,0.919299,36.189527,10.240099,46.429626,1744.867188
112000,0.925045,0.935000,0.946334,0.953405,0.822351,0.846517,36.516124,10.339556,46.855680,1748.960938
113000,0.925205,0.960000,0.946438,0.971014,0.822779,0.906597,36.829427,10.437719,47.267146,1757.304688
114000,0.925292,0.930000,0.946494,0.949275,0.823004,0.836391,37.130008,10.533228,47.663236,1757.367188
115000,0.925386,0.925000,0.946550,0.945055,0.823278,0.826990,37.440608,10.634909,48.075516,1757.398438
116000,0.925609,0.940000,0.946711,0.957447,0.823795,0.855769,37.760847,10.732485,48.493332,1746.421875
117000,0.925767,0.940000,0.946828,0.955556,0.824154,0.863263,38.062181,10.832068,48.894250,1778.195312
118000,0.925812,0.935000,0.946849,0.952381,0.824305,0.850023,38.357415,10.932300,49.289715,1783.500000
119000,0.925890,0.945000,0.946896,0.960854,0.824525,0.868515,38.664802,11.030044,49.694845,1868.250000
120000,0.925874,0.940000,0.946880,0.958904,0.824507,0.847793,39.033699,11.127296,50.160995,1912.273438
121000,0.925892,0.940000,0.946891,0.956204,0.824555,0.861224,39.340263,11.227854,50.568118,1949.867188
122000,0.925959,0.935000,0.946939,0.951673,0.824714,0.852941,39.648381,11.349440,50.997821,1954.273438
123000,0.925861,0.900000,0.946879,0.932432,0.824440,0.741769,40.019135,11.455028,51.474164,1954.304688
124000,0.925992,0.955000,0.946967,0.969283,0.824772,0.885204,40.329920,11.553824,51.883744,1958.148438
125000,0.926097,0.935000,0.947044,0.954704,0.825013,0.839783,40.626232,11.649237,52.275469,2005.671875
126000,0.926112,0.940000,0.947047,0.954198,0.825086,0.867301,40.906071,11.750639,52.656710,2022.546875
127000,0.926151,0.930000,0.947070,0.947368,0.825199,0.842961,41.228071,11.850040,53.078111,2022.609375
128000,0.926346,0.945000,0.947220,0.961404,0.825618,0.866082,41.546688,11.944347,53.491036,2022.765625
129000,0.926414,0.955000,0.947281,0.968858,0.825725,0.887781,41.874153,12.040950,53.915104,2022.765625
130000,0.926488,0.930000,0.947335,0.951724,0.825899,0.825000,42.158925,12.147114,54.306039,2022.859375
131000,0.926592,0.920000,0.947411,0.939850,0.826134,0.820527,42.460187,12.242240,54.702427,2024.414062
132000,0.926756,0.945000,0.947518,0.962199,0.826567,0.861391,42.796696,12.338768,55.135464,2028.382812
133000,0.926735,0.915000,0.947500,0.938182,0.826527,0.802326,43.092888,12.436859,55.529747,2070.664062
134000,0.926842,0.940000,0.947581,0.956204,0.826766,0.861111,43.438707,12.535355,55.974062,2118.871094
135000,0.926896,0.915000,0.947614,0.933852,0.826908,0.814976,43.753705,12.634850,56.388555,2132.671875
136000,0.927015,0.945000,0.947696,0.962712,0.827205,0.858065,44.056740,12.736146,56.792886,2136.453125
137000,0.927125,0.920000,0.947786,0.946309,0.827418,0.789446,44.359154,12.835705,57.194859,2225.460938
138000,0.927095,0.920000,0.947758,0.942857,0.827373,0.809524,44.641785,12.935907,57.577692,2225.710938
139000,0.927065,0.925000,0.947727,0.943820,0.827346,0.831612,44.970522,13.034308,58.004830,2225.804688
140000,0.927137,0.955000,0.947777,0.968198,0.827518,0.891278,45.299450,13.134290,58.433740,2225.835938
141000,0.927200,0.915000,0.947817,0.936330,0.827692,0.808559,45.624445,13.237701,58.862146,2225.929688
142000,0.927298,0.950000,0.947890,0.964539,0.827912,0.879793,45.938243,13.334334,59.272577,2225.960938
143000,0.927366,0.920000,0.947928,0.940741,0.828117,0.817685,46.239779,13.439216,59.678995,2226.054688
144000,0.927497,0.935000,0.948019,0.951673,0.828435,0.852775,46.566808,13.533130,60.099939,2226.148438
145000,0.927472,0.915000,0.948004,0.938628,0.828370,0.800890,46.882975,13.631197,60.514171,2227.757812
146000,0.927476,0.930000,0.947998,0.951724,0.828413,0.824473,47.234884,13.723883,60.958768,2227.820312
147000,0.927562,0.945000,0.948052,0.960000,0.828646,0.872093,47.519617,13.822051,61.341667,2227.820312
148000,0.927578,0.880000,0.948059,0.911765,0.828706,0.726277,47.826417,13.923949,61.750366,2227.851562
149000,0.927608,0.925000,0.948069,0.940711,0.828827,0.838883,48.129167,14.030304,62.159471,2267.218750
150000,0.927597,0.955000,0.948056,0.967972,0.828821,0.892370,48.440931,14.135250,62.576181,2323.929688
151000,0.927607,0.945000,0.948063,0.960573,0.828844,0.869668,48.744336,14.233581,62.977917,2332.492188
152000,0.927642,0.940000,0.948081,0.954198,0.828961,0.867301,49.069348,14.332406,63.401753,2336.960938
153000,0.927645,0.950000,0.948067,0.963768,0.829034,0.883178,49.388590,14.429752,63.818341,2397.546875
154000,0.927660,0.920000,0.948077,0.939850,0.829075,0.820467,49.712958,14.537320,64.250277,2398.570312
155000,0.927688,0.955000,0.948096,0.965779,0.829144,0.900089,50.041062,14.636120,64.677181,2450.750000
156000,0.927710,0.940000,0.948114,0.957746,0.829185,0.854369,50.340558,14.735823,65.076381,2514.531250
157000,0.927737,0.935000,0.948135,0.954386,0.829243,0.841734,50.637991,14.833601,65.471591,2519.468750
158000,0.927815,0.905000,0.948190,0.932862,0.829434,0.771029,50.953191,14.930456,65.883646,2513.304688
159000,0.927880,0.935000,0.948240,0.954064,0.829570,0.843336,51.244858,15.027564,66.272422,2523.015625
160000,0.927925,0.925000,0.948263,0.942966,0.829713,0.833850,51.607347,15.128276,66.735623,2527.234375
161000,0.928069,0.950000,0.948367,0.965517,0.830051,0.874608,51.925611,15.238189,67.163800,2527.234375
162000,0.928149,0.940000,0.948430,0.956522,0.830217,0.859813,52.233132,15.332631,67.565763,2535.640625
163000,0.928167,0.940000,0.948436,0.955556,0.830288,0.863263,52.531527,15.431572,67.963100,2548.421875
164000,0.928319,0.945000,0.948554,0.962712,0.830608,0.857991,52.877171,15.534969,68.412140,2590.703125
165000,0.928335,0.910000,0.948560,0.932331,0.830674,0.798568,53.201716,15.633228,68.834944,2590.765625
