# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_ht_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.479000,0.485000,0.317883,0.350608,0.387439,0.392832,4.070779,1.221632,5.292411,183.416016
3000,0.481000,0.500000,0.279436,0.305758,0.387205,0.401932,5.531835,2.467532,7.999367,183.509766
4000,0.492000,0.475000,0.332308,0.280344,0.398466,0.382426,7.002788,3.713499,10.716287,183.541016
5000,0.499500,0.520000,0.310852,0.268577,0.400881,0.419642,8.471855,4.961467,13.433322,183.572266
6000,0.510600,0.590000,0.294760,0.279435,0.409037,0.473481,9.944401,6.209912,16.154313,183.572266
7000,0.509333,0.525000,0.285538,0.219578,0.405496,0.402478,11.419807,7.442314,18.862121,183.603516
8000,0.517286,0.600000,0.281035,0.281180,0.414870,0.508630,12.899733,8.698564,21.598296,183.822266
9000,0.518875,0.550000,0.283172,0.266604,0.418102,0.458549,14.382329,9.937533,24.319862,183.822266
10000,0.516000,0.515000,0.280889,0.260767,0.416852,0.422344,15.896348,11.212777,27.109124,183.947266
11000,0.515600,0.515000,0.282381,0.310197,0.418044,0.431452,17.420455,12.492342,29.912797,183.947266
12000,0.516364,0.505000,0.281170,0.252383,0.419640,0.413872,18.922246,13.741774,32.664020,184.041016
13000,0.516083,0.540000,0.285814,0.333743,0.420446,0.460347,20.414245,15.007818,35.422064,184.041016
14000,0.517846,0.525000,0.285008,0.256774,0.422836,0.430558,21.942479,16.272641,38.215119,184.041016
15000,0.520643,0.565000,0.285377,0.302539,0.426316,0.479011,23.446202,17.513352,40.959554,184.041016
16000,0.520933,0.540000,0.284210,0.261512,0.427134,0.452886,24.944072,18.764560,43.708632,184.041016
17000,0.521563,0.535000,0.284930,0.255294,0.428265,0.444444,26.458607,20.026363,46.484970,184.041016
18000,0.522588,0.520000,0.285364,0.271202,0.429954,0.438252,27.968991,21.290002,49.258993,184.041016
19000,0.521611,0.530000,0.285020,0.292101,0.429428,0.437547,29.456205,22.535774,51.991979,184.041016
20000,0.522632,0.525000,0.285728,0.270572,0.430936,0.446935,30.958703,23.803100,54.761803,184.041016
21000,0.522950,0.535000,0.285091,0.249301,0.431507,0.445554,32.460528,25.056736,57.517263,184.041016
22000,0.522429,0.515000,0.284440,0.275314,0.431265,0.426460,33.955757,26.310205,60.265963,184.041016
23000,0.522182,0.550000,0.283405,0.251055,0.431233,0.462221,35.482909,27.573856,63.056764,184.041016
24000,0.521913,0.545000,0.282943,0.273605,0.431126,0.456164,36.993539,28.839201,65.832740,184.041016
25000,0.522792,0.550000,0.282623,0.300488,0.432313,0.464174,38.488768,30.105259,68.594027,184.041016
26000,0.522800,0.495000,0.282556,0.275411,0.432370,0.402561,40.022116,31.370298,71.392413,7.186523
27000,0.523577,0.510000,0.279299,0.152546,0.429550,0.302987,40.888212,31.439107,72.327319,381.156250
28000,0.526741,0.555000,0.279561,0.200176,0.431517,0.413760,41.798063,32.016449,73.814512,406.703125
29000,0.529071,0.540000,0.279488,0.219392,0.433072,0.424316,42.668469,32.292036,74.960504,427.398438
30000,0.530138,0.585000,0.278987,0.247494,0.433207,0.474367,43.568869,32.578884,76.147753,448.492188
31000,0.531100,0.535000,0.278636,0.244447,0.433424,0.404037,44.527204,32.850847,77.378051,465.023438
32000,0.532548,0.590000,0.278900,0.223161,0.434170,0.467152,45.460979,33.161235,78.622214,496.085938
33000,0.533125,0.535000,0.278159,0.218180,0.434073,0.416526,46.402650,33.463789,79.866439,500.398438
34000,0.534091,0.555000,0.277026,0.199054,0.433898,0.419060,47.348356,33.545538,80.893895,500.617188
35000,0.536206,0.630000,0.276433,0.220901,0.435020,0.491671,48.285962,33.626451,81.912412,500.617188
36000,0.537771,0.530000,0.275752,0.210216,0.435576,0.385139,49.282609,33.709731,82.992341,500.679688
37000,0.538250,0.550000,0.274754,0.201234,0.435022,0.411476,50.242491,33.790953,84.033444,509.148438
38000,0.539676,0.545000,0.274090,0.206739,0.435708,0.411156,51.209460,33.880509,85.089970,509.242188
39000,0.540605,0.565000,0.273424,0.201115,0.435799,0.422445,52.203625,33.965896,86.169521,415.476562
40000,0.537590,0.415000,0.271288,0.150969,0.432698,0.296029,53.066748,34.076946,87.143694,534.328125
41000,0.540675,0.690000,0.271733,0.233300,0.435613,0.585451,53.841802,34.159385,88.001187,565.703125
42000,0.543146,0.635000,0.271986,0.238301,0.437937,0.527325,54.786803,34.241670,89.028473,590.921875
43000,0.545357,0.605000,0.272134,0.234971,0.439946,0.498365,55.676474,34.323786,90.000260,595.296875
44000,0.547860,0.660000,0.272456,0.237179,0.442269,0.546152,56.560476,34.407934,90.968409,599.171875
45000,0.550182,0.655000,0.272762,0.238227,0.444546,0.546560,57.458546,34.490552,91.949098,599.203125
46000,0.552267,0.640000,0.272854,0.239460,0.446541,0.528672,58.334922,34.573835,92.908757,602.859375
47000,0.554783,0.625000,0.272975,0.219973,0.448952,0.510827,59.222594,34.655506,93.878100,611.265625
48000,0.555979,0.580000,0.272730,0.222623,0.450022,0.463293,60.198711,34.740427,94.939137,611.265625
49000,0.557958,0.700000,0.272950,0.271880,0.451907,0.608521,61.185550,34.826366,96.011917,628.265625
50000,0.559755,0.600000,0.272872,0.225317,0.453579,0.492740,62.087013,34.918256,97.005268,651.078125
51000,0.561620,0.670000,0.272922,0.235294,0.455432,0.565418,63.009613,35.001452,98.011065,654.609375
52000,0.563000,0.565000,0.272882,0.226626,0.456778,0.439108,63.937601,35.084689,99.022290,654.640625
53000,0.564769,0.690000,0.272993,0.254593,0.458457,0.579119,64.896525,35.168876,100.065401,654.671875
54000,0.566679,0.665000,0.272988,0.243603,0.460309,0.564864,65.804853,35.253492,101.058345,658.984375
55000,0.568481,0.640000,0.273185,0.236528,0.462097,0.526705,66.727214,35.341585,102.068799,659.671875
56000,0.569764,0.605000,0.273114,0.230766,0.463338,0.490454,67.707096,35.424788,103.131884,663.421875
57000,0.571125,0.670000,0.273027,0.248892,0.464645,0.565604,68.681024,35.505286,104.186310,663.421875
58000,0.572456,0.630000,0.273018,0.226910,0.465932,0.517365,69.610468,35.594090,105.204558,667.890625
59000,0.573190,0.595000,0.272902,0.228011,0.466604,0.467280,70.588428,35.678084,106.266512,667.921875
60000,0.574339,0.605000,0.272698,0.224590,0.467706,0.491831,71.552951,35.778123,107.331074,668.046875
61000,0.575467,0.635000,0.272580,0.232877,0.468794,0.532471,72.505784,35.860958,108.366741,668.046875
62000,0.576426,0.680000,0.272458,0.231360,0.469664,0.564951,73.450239,35.945674,109.395912,676.609375
