# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=4.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_leverage_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.901000,0.895000,0.926612,0.921933,0.775685,0.762765,58.547146,1.206296,59.753442,3245.729492
3000,0.893500,0.870000,0.918857,0.895161,0.763963,0.725536,75.827220,2.536875,78.364095,4263.510742
4000,0.905333,0.925000,0.929668,0.945848,0.785118,0.825052,92.188271,3.654981,95.843253,4713.096680
5000,0.906500,0.880000,0.931677,0.916667,0.783997,0.706781,108.596093,4.666897,113.262989,5431.362305
6000,0.911400,0.930000,0.935825,0.949640,0.793206,0.835584,124.974280,5.951161,130.925441,6064.057617
7000,0.915833,0.950000,0.939310,0.965986,0.802505,0.872057,141.355392,7.113616,148.469008,6584.225586
8000,0.916714,0.930000,0.940088,0.952381,0.804027,0.820880,157.663215,8.212333,165.875548,7287.100586
9000,0.918125,0.895000,0.941229,0.926829,0.806835,0.742331,173.982862,9.314648,183.297510,7889.584961
10000,0.920444,0.940000,0.942875,0.956522,0.812400,0.860156,189.759130,10.437583,200.196713,9022.616211
11000,0.921400,0.960000,0.943559,0.971014,0.814698,0.906597,205.663417,11.563606,217.227023,9525.116211
12000,0.923000,0.920000,0.944860,0.945205,0.817819,0.797699,221.976940,12.595920,234.572860,10129.741211
13000,0.925000,0.945000,0.946390,0.963696,0.822124,0.850706,237.966163,13.633188,251.599351,10669.131836
14000,0.925462,0.910000,0.946685,0.941176,0.823374,0.750554,254.352438,14.637393,268.989831,11311.600586
15000,0.926143,0.945000,0.947196,0.961404,0.824879,0.865952,270.314600,15.844400,286.159000,12017.299805
16000,0.926867,0.950000,0.947730,0.964789,0.826512,0.878641,286.208699,16.956946,303.165645,12449.510742
17000,0.926875,0.950000,0.947726,0.965517,0.826582,0.874859,302.780089,18.055560,320.835650,13007.463867
18000,0.927647,0.915000,0.948258,0.939068,0.828489,0.799906,318.514806,19.109525,337.624332,13432.229492
19000,0.928389,0.930000,0.948928,0.953333,0.829613,0.813557,334.383488,20.244379,354.627867,13789.319336
20000,0.927737,0.920000,0.948420,0.941606,0.828259,0.815668,350.440950,21.459049,371.899999,14152.936523
21000,0.927550,0.925000,0.948285,0.943820,0.827819,0.831612,366.521685,22.592463,389.114148,14774.014648
22000,0.927381,0.895000,0.948275,0.924188,0.826918,0.754328,382.717257,23.697626,406.414883,15546.936523
23000,0.928045,0.935000,0.948732,0.953737,0.828564,0.845054,398.844691,24.862867,423.707558,15917.920898
24000,0.928565,0.970000,0.949207,0.980645,0.829309,0.914028,414.764862,26.027319,440.792181,16462.155273
25000,0.928708,0.965000,0.949290,0.974545,0.829748,0.918661,430.734959,27.133110,457.868069,17350.913086
26000,0.928800,0.945000,0.949325,0.960573,0.830096,0.869853,446.936332,28.321632,475.257964,17923.545898
27000,0.929231,0.930000,0.949664,0.952381,0.830963,0.820674,462.704686,29.542607,492.247293,18694.874023
28000,0.929296,0.940000,0.949725,0.955882,0.831053,0.862527,478.298492,30.638822,508.937314,19331.795898
29000,0.928857,0.910000,0.949380,0.937063,0.830153,0.779843,494.287399,31.755181,526.042580,19774.206055
30000,0.929000,0.950000,0.949496,0.965278,0.830421,0.876375,510.049958,32.898975,542.948933,19998.913086
31000,0.929000,0.950000,0.949478,0.965035,0.830502,0.877331,526.002996,34.083609,560.086606,20497.237305
32000,0.929774,0.960000,0.950024,0.972789,0.832357,0.897331,542.122505,35.259799,577.382304,20832.096680
33000,0.929906,0.935000,0.950106,0.954064,0.832728,0.843336,557.806894,36.481397,594.288291,21490.249023
34000,0.930030,0.930000,0.950116,0.946565,0.833358,0.845184,573.928173,37.792045,611.720218,21891.854492
35000,0.930618,0.965000,0.950507,0.973384,0.834861,0.922309,590.402463,39.160308,629.562772,22551.143555
36000,0.931171,0.950000,0.950914,0.964286,0.836111,0.881009,606.241990,40.462974,646.704964,22917.756836
37000,0.931222,0.915000,0.950922,0.939502,0.836353,0.797136,622.509459,41.706981,664.216440,23314.940430
38000,0.931459,0.970000,0.951037,0.977612,0.837146,0.932157,638.623838,43.004800,681.628638,23949.311523
39000,0.931447,0.940000,0.950979,0.956204,0.837318,0.860982,654.851463,44.254077,699.105540,24270.276367
40000,0.931718,0.935000,0.951207,0.955932,0.837804,0.832258,670.915646,45.451250,716.366896,24721.834961
41000,0.932100,0.965000,0.951451,0.972763,0.838818,0.923863,686.981785,46.750582,733.732368,25019.811523
42000,0.932512,0.955000,0.951709,0.966790,0.839944,0.897049,703.089062,48.026129,751.115192,25682.018555
43000,0.932881,0.950000,0.951957,0.967949,0.840877,0.854312,719.210594,49.357265,768.567859,26067.456055
44000,0.932860,0.925000,0.951902,0.944238,0.840998,0.829739,735.272779,50.612067,785.884847,26649.791992
45000,0.932841,0.920000,0.951841,0.937008,0.841149,0.827437,750.994068,51.842210,802.836278,27202.436523
46000,0.932844,0.930000,0.951887,0.953947,0.840967,0.808140,767.265251,53.056399,820.321650,28096.198242
47000,0.932978,0.945000,0.951982,0.958491,0.841280,0.877040,783.614904,54.303985,837.918889,28639.698242
48000,0.933106,0.935000,0.952070,0.955932,0.841593,0.832388,799.703942,55.576029,855.279971,29068.713867
49000,0.933167,0.920000,0.952124,0.941606,0.841687,0.814965,816.298941,56.848493,873.147434,29806.924805
50000,0.933367,0.920000,0.952265,0.942446,0.842167,0.811321,831.957448,58.097684,890.055132,29967.799805
51000,0.933400,0.930000,0.952270,0.948529,0.842315,0.839154,847.575524,59.425005,907.000529,30437.666992
52000,0.933569,0.930000,0.952362,0.947761,0.842835,0.841718,864.209282,60.707937,924.917218,30730.065430
53000,0.933538,0.925000,0.952348,0.948097,0.842724,0.813247,880.495635,62.149996,942.645631,31403.151367
54000,0.933679,0.965000,0.952407,0.974359,0.843233,0.919262,896.343515,63.441080,959.784595,31553.249023
55000,0.933704,0.930000,0.952449,0.947761,0.843178,0.841718,912.819050,64.728507,977.547557,32035.592773
56000,0.933855,0.970000,0.952545,0.977778,0.843585,0.931632,928.906771,66.024262,994.931033,32606.987305
57000,0.933875,0.925000,0.952551,0.946996,0.843668,0.818928,945.219191,67.396562,1012.615752,33056.291992
