# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=6)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_leverage_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.605000,0.635000,0.352069,0.400812,0.519127,0.553079,229.927679,8.078150,238.005830,3599.483398
3000,0.626500,0.705000,0.323342,0.387728,0.535326,0.621746,304.579359,16.255337,320.834696,3769.420898
4000,0.624667,0.610000,0.326754,0.344797,0.536754,0.530940,377.309027,22.523781,399.832808,3593.870117
5000,0.629250,0.660000,0.323828,0.330154,0.538173,0.572864,450.356976,28.334795,478.691771,4519.752930
6000,0.632800,0.690000,0.323547,0.325471,0.540159,0.593935,519.959042,33.475723,553.434765,4911.834961
7000,0.630500,0.640000,0.325708,0.352696,0.539197,0.553890,589.965127,39.055117,629.020244,5015.354492
8000,0.632571,0.705000,0.325595,0.377838,0.541324,0.626913,658.077626,43.683858,701.761484,5467.202148
9000,0.636500,0.670000,0.328970,0.283696,0.546437,0.583202,724.503014,48.196835,772.699849,5765.311523
10000,0.641000,0.705000,0.334262,0.357368,0.551598,0.618321,794.003006,52.086012,846.089018,5693.573242
11000,0.643600,0.630000,0.336680,0.308981,0.555437,0.546360,865.502897,56.520298,922.023195,5932.932617
12000,0.643000,0.670000,0.336440,0.411911,0.555006,0.590202,934.068203,60.415103,994.483306,6148.596680
13000,0.646083,0.700000,0.338015,0.325598,0.558733,0.617786,1001.495346,63.999809,1065.495155,6216.788086
14000,0.646077,0.665000,0.339755,0.330264,0.559414,0.586726,1065.862608,67.664438,1133.527045,6857.827148
15000,0.651286,0.725000,0.343305,0.350008,0.565398,0.648551,1128.156480,72.570591,1200.727072,7492.877930
16000,0.655333,0.720000,0.345739,0.371027,0.569889,0.645132,1186.605478,77.066187,1263.671666,8076.819336
17000,0.656250,0.675000,0.347474,0.299079,0.570701,0.587773,1245.855145,81.312998,1327.168143,8252.788086
18000,0.656647,0.650000,0.347376,0.348114,0.571225,0.569058,1306.559428,85.493773,1392.053201,7852.088867
19000,0.658889,0.740000,0.349872,0.431187,0.573856,0.667625,1373.234869,89.629999,1462.864868,7270.815430
20000,0.658579,0.625000,0.349194,0.289704,0.572880,0.523143,1437.878753,95.047032,1532.925785,7372.678711
21000,0.660200,0.705000,0.352499,0.351585,0.574939,0.629606,1498.629480,99.535123,1598.164603,8047.288086
22000,0.661619,0.710000,0.356222,0.381188,0.577138,0.642802,1561.913429,105.121040,1667.034469,8480.377930
23000,0.661636,0.695000,0.357599,0.417829,0.577435,0.619309,1624.463223,111.344187,1735.807409,8348.284180
24000,0.661130,0.670000,0.357598,0.314395,0.576992,0.585713,1690.100103,116.529523,1806.629626,8552.889648
25000,0.661750,0.660000,0.359431,0.370637,0.577827,0.569947,1754.404364,121.628199,1876.032563,8876.061523
26000,0.662880,0.700000,0.359459,0.342555,0.579008,0.621248,1812.862866,125.649368,1938.512234,9149.897461
27000,0.664500,0.710000,0.360545,0.421638,0.580991,0.640644,1874.005185,129.451080,2003.456264,8533.338867
28000,0.666667,0.715000,0.362614,0.401123,0.583411,0.638233,1941.897012,135.159158,2077.056171,8824.288086
29000,0.667857,0.685000,0.363656,0.363848,0.584910,0.605930,2010.732815,141.460924,2152.193739,8957.741211
30000,0.669345,0.715000,0.365814,0.408790,0.587006,0.649457,2080.739504,147.667781,2228.407285,9115.272461
31000,0.668067,0.615000,0.366177,0.279239,0.585230,0.505046,2151.466291,154.158893,2305.625183,9334.592773
32000,0.669806,0.730000,0.367506,0.336285,0.587202,0.649783,2218.800402,158.674134,2377.474536,9715.307617
33000,0.668312,0.640000,0.367421,0.374132,0.585763,0.564586,2287.737085,164.684779,2452.421865,10045.401367
34000,0.669545,0.735000,0.368571,0.430576,0.587286,0.669597,2356.453074,170.469525,2526.922599,10308.534180
35000,0.670294,0.720000,0.370449,0.420519,0.588307,0.639558,2424.841102,176.227157,2601.068259,10507.299805
36000,0.671286,0.660000,0.371409,0.381677,0.589605,0.587354,2492.615657,182.019421,2674.635079,10688.198242
37000,0.671389,0.645000,0.372329,0.351938,0.590030,0.567864,2553.986119,187.890820,2741.876939,10983.139648
38000,0.672676,0.695000,0.378135,0.390846,0.591666,0.624002,2614.730106,192.079430,2806.809535,11027.045898
39000,0.673316,0.685000,0.378954,0.352129,0.592498,0.608440,2679.480778,197.891753,2877.372531,10992.104492
40000,0.672692,0.655000,0.378488,0.344767,0.591750,0.576869,2745.202773,202.825713,2948.028485,11341.206055
41000,0.675025,0.785000,0.381275,0.474140,0.594611,0.720443,2809.757322,208.067915,3017.825237,11487.596680
42000,0.675098,0.675000,0.381635,0.386471,0.594722,0.592630,2876.494106,213.481835,3089.975941,11783.682617
43000,0.674500,0.645000,0.381197,0.339417,0.593836,0.556721,2942.194598,218.939407,3161.134006,11921.073242
44000,0.675442,0.715000,0.382588,0.479517,0.594895,0.639263,3006.950026,223.658384,3230.608410,11957.393555
45000,0.677386,0.770000,0.383778,0.420576,0.597271,0.711354,3069.620450,228.499155,3298.119605,12461.463867
46000,0.678156,0.735000,0.384194,0.395857,0.598182,0.664759,3135.822498,233.325972,3369.148470,12637.987305
